City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pokrovsk,48.282,37.1758,283.79,75,75,6.01,UA,1680979022
1,vila velha,-20.3297,-40.2925,304.12,79,40,6.69,BR,1680978897
2,narsaq,60.9167,-46.05,277.27,78,100,1.39,GL,1680978883
3,beyneu,45.3167,55.2,287.34,57,45,5.12,KZ,1680979023
4,asau,46.4333,26.4,277.66,94,78,1.13,RO,1680979023
5,abu kamal,34.4506,40.9171,295.02,23,100,3.5,SY,1680979023
6,rikitea,-23.1203,-134.9692,297.79,63,17,7.22,PF,1680978834
7,new glasgow,45.5834,-62.6486,273.03,48,79,6.6,CA,1680978895
8,liwonde,-15.0506,35.2035,293.84,96,57,0.96,MW,1680979024
9,hadejia,12.4498,10.0444,306.77,10,9,3.06,NG,1680979024
10,boende,-0.2167,20.8667,295.1,98,100,0.62,CD,1680979025
11,huilong,31.8111,121.655,282.0,65,0,3.8,CN,1680979025
12,georgetown,5.4112,100.3354,301.12,84,20,2.06,MY,1680978846
13,port alfred,-33.5906,26.891,291.03,97,99,2.47,ZA,1680978844
14,pionerskiy,54.9508,20.2275,278.06,98,100,2.72,RU,1680979025
15,salcininkai,54.3,25.3833,283.62,91,100,2.85,LT,1680979026
16,bhikangaon,21.8667,75.95,301.8,36,17,1.88,IN,1680979026
17,ballina,-28.8667,153.5667,289.59,67,0,4.45,AU,1680979026
18,kauhajoki,62.4333,22.1833,276.14,75,5,0.83,FI,1680979026
19,jiazi,22.8779,116.067,290.39,61,40,7.23,CN,1680979027
20,albany,42.6001,-73.9662,283.04,27,8,2.68,US,1680978599
21,eastlake,41.6539,-81.4504,286.89,47,0,5.14,US,1680978915
22,hilo,19.7297,-155.09,295.43,84,100,2.06,US,1680978657
23,vila do maio,15.1333,-23.2167,297.59,74,100,7.87,CV,1680979027
24,ushuaia,-54.8,-68.3,279.96,76,75,5.66,AR,1680978840
25,punta arenas,-53.15,-70.9167,279.21,81,75,10.29,CL,1680978631
26,santana do livramento,-30.8908,-55.5328,296.53,52,99,3.46,BR,1680979028
27,kichmengskiy gorodok,59.9816,45.7854,270.02,94,9,1.13,RU,1680979028
28,hermanus,-34.4187,19.2345,287.48,67,100,1.58,ZA,1680978836
29,marana,32.4367,-111.2254,301.32,13,12,0.0,US,1680978871
30,dumai,1.6833,101.45,296.67,96,99,1.1,ID,1680978960
31,tilichiki,60.4667,166.1,258.3,96,100,3.93,RU,1680978793
32,atuona,-9.8,-139.0333,300.4,66,0,6.73,PF,1680978840
33,radviliskis,55.8167,23.5333,282.18,93,0,1.03,LT,1680979029
34,kaitangata,-46.2817,169.8464,280.44,88,100,4.38,NZ,1680978932
35,xining,36.6167,101.7667,278.62,42,100,0.43,CN,1680978928
36,poso,-1.3959,120.7524,298.0,78,85,1.04,ID,1680979030
37,yellowknife,62.456,-114.3525,277.44,65,20,2.06,CA,1680978846
38,okhotsk,59.3833,143.3,254.24,94,10,3.68,RU,1680978870
39,alghero,40.5589,8.3181,285.2,71,20,1.03,IT,1680979031
40,abha,18.2164,42.5053,290.29,63,40,3.09,SA,1680978951
41,zhigansk,66.7697,123.3711,241.65,100,46,0.36,RU,1680979031
42,banff,51.1762,-115.5698,283.72,39,100,5.66,CA,1680979031
43,geraldton,-28.7667,114.6,286.38,88,0,3.6,AU,1680978643
44,chuy,-33.6971,-53.4616,294.57,62,84,3.76,UY,1680978867
45,castro,-24.7911,-50.0119,292.53,86,100,1.63,BR,1680978871
46,broome,42.2506,-75.833,283.71,32,0,1.79,US,1680978959
47,qaqortoq,60.7167,-46.0333,272.84,79,100,0.94,GL,1680979032
48,college,64.8569,-147.8028,262.71,64,75,1.54,US,1680978938
49,puksoozero,62.5903,40.6066,270.27,98,16,1.24,RU,1680979032
50,mackay,-21.15,149.2,291.31,47,68,3.58,AU,1680978993
51,viedma,-40.8135,-62.9967,298.82,48,84,5.52,AR,1680979033
52,fort nelson,58.8053,-122.7002,279.92,57,75,1.03,CA,1680978884
53,eyemouth,55.8713,-2.0901,283.28,86,10,4.78,GB,1680979033
